DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Chomutov-Jirkov (greater city),2011,5172.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,1995,13439.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,1996,14523.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,1997,14769.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,1998,14393.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,1999,14603.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2000,15339.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2001,19900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2004,20100.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2005,21000.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2006,21000.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2007,21400.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2008,21900.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2009,22200.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2010,22700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2011,23100.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Germany,2012,23700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,1996,15500.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2001,17400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2004,17400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2005,17900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2006,17800.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2007,18000.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2008,18200.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2009,18400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2010,18900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2011,19200.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2012,19700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2013,20028.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2014,20796.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2015,21036.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2016,23232.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2017,23988.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2018,24864.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Berlin,2019,25704.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,1996,15900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2001,19500.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2004,19400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2005,20100.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2006,20300.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2007,20900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2008,21600.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2009,22100.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2010,22600.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2011,22700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2012,23200.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2013,23448.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2014,24192.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2015,24612.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2016,26244.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2017,27012.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2018,27756.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Hamburg,2019,28416.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,1996,17400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2001,21700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2004,21700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2005,22900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2006,22900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2007,23600.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2008,24200.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2009,24500.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2010,25100.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2011,25400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2012,26500.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2013,27648.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2014,28488.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2015,28992.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2016,29772.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2017,31056.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2018,32436.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,München,2019,33972.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,1996,16000.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2001,18900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2004,19700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2005,20000.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2006,19800.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2007,20400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2008,20700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2009,21000.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2010,21600.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2011,21600.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2012,22500.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2013,22884.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2014,23484.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2015,24264.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2016,25284.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2017,25716.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2018,26400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Köln,2019,27444.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,1996,15900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2001,20900.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2004,20700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2005,21600.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2006,21700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2007,22400.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2008,22700.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2009,23000.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2010,23800.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2011,24200.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2012,25100.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2013,25656.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2014,26136.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2015,26688.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2016,26964.00,e,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Frankfurt am Main,2017,28152.00,e,
