year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany
1998,Hamburg,223213,845460,1823,6846,99.62,0.535,0
1998,Karlsruhe,531603,1226147,7028,15331,103.3,0.2478,0
1998,Köln,148871,562443,10901,28178,96.7,0.7003,0
1998,Lübeck,39002,110881,235,1348,102.6,0.1959,0
1998,Münster,64950,172356,6846,13423,99.6,0.3931,0
1998,Potsdam,16995,80830,2180,4314,100.52,0.2,1
1998,Stuttgart,775105,1739801,9930,22662,108.58,0.2979,0
1998,Wiesbaden,34277,131933,271,1254,99.68,0.2235,0
1999,Berlin,292556,1849619,3980,10355,105.14,0.3703,0
1999,Bonn,51018,152405,353,1663,102.2,0.472,0
1999,Chemnitz,29076,163628,470,1172,106.42,0.25,1
1999,Dortmund,84363,296138,869,2260,102.52,0.6583,0
1999,Dresden,49492,283033,962,2562,101.28,0.6,1
1999,Duisburg,75641,255467,497,1131,100.56,0.6479,0
1999,Düsseldorf,96767,399540,9209,20689,102.41,0.5091,0
1999,Erfurt,23043,109626,595,898,103.68,NA,NA
1999,Frankfurt,67931,334633,702,2241,102.19,0.4497,0
1999,Hamburg,225036,852306,1620,5724,101.64,0.535,0
1999,Karlsruhe,538631,1241478,7112,13509,104.69,0.2478,0
1999,Köln,159772,590621,11487,26446,99.01,0.7003,0
1999,Lübeck,39237,112229,362,590,104.93,0.1959,0
1999,Münster,71796,185779,8634,16120,100.96,0.3931,0
1999,Potsdam,19175,85144,2185,3306,91.69,0.2,1
1999,Stuttgart,785035,1762463,10272,21412,102.98,0.2979,0
1999,Wiesbaden,34548,133187,146,1086,103.95,0.2235,0
2000,Berlin,296536,1859974,3080,7280,100,0.3703,0
2000,Bonn,51371,154068,431,1144,100,0.472,0
2000,Chemnitz,29546,164800,441,747,100,0.25,1
2000,Dortmund,85232,298398,592,1683,100,0.6583,0
2000,Dresden,50454,285595,746,1521,100,0.6,1
2000,Duisburg,76138,256598,698,1361,100,0.6479,0
2000,Düsseldorf,105976,420229,10176,21374,100,0.5091,0
2000,Erfurt,23638,110524,781,1635,100,NA,NA
2000,Frankfurt,68633,336874,796,1959,100,0.4497,0
2000,Hamburg,226656,858030,2095,5790,100,0.535,0
2000,Karlsruhe,545743,1254987,7408,12695,100,0.2478,0
2000,Köln,171259,617067,10789,22571,100,0.7003,0
2000,Lübeck,39599,112819,114,250,100,0.1959,0
2000,Münster,80430,201899,8560,14152,100,0.3931,0
2000,Potsdam,21360,88450,1842,3099,100,0.2,1
2000,Stuttgart,795307,1783875,10473,20072,100,0.2979,0
2000,Wiesbaden,34694,134273,173,916,100,0.2235,0
2001,Berlin,299616,1867254,2734,5918,92.56,0.3703,0
2001,Bonn,51802,155212,373,1055,97.13,0.472,0
2001,Chemnitz,29987,165547,400,684,93.56,0.25,1
2001,Dortmund,85824,300081,1441,2846,94.75,0.6583,0
2001,Dresden,51200,287116,569,900,92.8,0.6,1
2001,Duisburg,76836,257959,585,1050,97.45,0.6479,0
2001,Düsseldorf,116152,441603,8126,15896,102.18,0.5091,0
2001,Erfurt,24419,112159,318,572,102.84,NA,NA
2001,Frankfurt,69429,338833,723,1755,96.73,0.4497,0
2001,Hamburg,228751,863820,1541,4527,96.19,0.535,0
2001,Karlsruhe,553151,1267682,5972,10473,101.07,0.2478,0
2001,Köln,182048,639638,9442,17308,100.37,0.7003,0
2001,Lübeck,39713,113069,138,323,95.92,0.1959,0
2001,Münster,88990,216051,7215,12739,95.27,0.3931,0
2001,Potsdam,23202,91549,954,1657,82.09,0.2,1
2001,Stuttgart,805780,1803947,8240,15381,100,0.2979,0
2001,Wiesbaden,34867,135189,189,534,100.04,0.2235,0
2002,Berlin,302350,1873172,2502,4396,87.89,0.3703,0
2002,Bonn,52175,156267,289,940,91,0.472,0
2002,Chemnitz,30387,166231,420,555,88.8,0.25,1
2002,Dortmund,87265,302927,867,1667,89.1,0.6583,0
2002,Dresden,51769,288016,478,839,89.5,0.6,1
2002,Duisburg,77421,259009,515,877,86.29,0.6479,0
2002,Düsseldorf,124278,457499,7236,13380,99.51,0.5091,0
2002,Erfurt,24737,112731,358,498,94.98,NA,NA
2002,Frankfurt,70152,340588,561,1573,94.48,0.4497,0
2002,Hamburg,230292,868347,1532,3389,94.79,0.535,0
2002,Karlsruhe,559123,1278155,5067,8484,96.85,0.2478,0
2002,Köln,191490,656946,8715,15360,103.11,0.7003,0
2002,Lübeck,39851,113392,162,360,87.87,0.1959,0
2002,Münster,96205,228790,5707,8880,92.71,0.3931,0
2002,Potsdam,24156,93206,1942,2622,85.65,0.2,1
2002,Stuttgart,814020,1819328,7837,14281,93.9,0.2979,0
2002,Wiesbaden,35056,135723,189,523,89.87,0.2235,0
2003,Berlin,304852,1877568,1918,3153,85.07,0.3703,0
2003,Bonn,52464,157207,251,525,90.56,0.472,0
2003,Chemnitz,30807,166786,308,407,79.59,0.25,1
2003,Dortmund,88132,304594,769,1399,89.64,0.6583,0
2003,Dresden,52247,288855,451,591,91.43,0.6,1
2003,Duisburg,77936,259886,489,737,85.15,0.6479,0
2003,Düsseldorf,131514,470879,7745,13611,95,0.5091,0
2003,Erfurt,25095,113229,451,723,99.43,NA,NA
2003,Frankfurt,70713,342161,654,2733,87.27,0.4497,0
2003,Hamburg,231824,871736,1581,3619,93.69,0.535,0
2003,Karlsruhe,564190,1286639,5349,8288,97.01,0.2478,0
2003,Köln,200205,672306,8504,14936,97.38,0.7003,0
2003,Lübeck,40013,113752,315,638,86.09,0.1959,0
2003,Münster,101912,237670,6211,9243,93.71,0.3931,0
2003,Potsdam,26098,95828,1025,1513,76.58,0.2,1
2003,Stuttgart,821857,1833609,7294,13075,96.87,0.2979,0
2003,Wiesbaden,35245,136246,182,649,91.89,0.2235,0
