year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany
1995,Berlin,276583,1770346,3036,13264,118.4,0.3703,0,NA,NA,NA,NA,NA,NA
1996,Berlin,279619,1783610,3946,20179,110.62,0.3703,0,NA,NA,NA,NA,NA,NA
1997,Berlin,283565,1803789,5232,30310,109.92,0.3703,0,NA,NA,NA,NA,NA,NA
1998,Berlin,288797,1834099,3759,15520,110.56,0.3703,0,NA,NA,NA,NA,NA,NA
1999,Berlin,292556,1849619,3980,10355,100.49,0.3703,0,NA,NA,NA,NA,NA,NA
2000,Berlin,296536,1859974,3080,7280,100,0.3703,0,21000,17400,15339,1.206896551724138,NA,1.1343633874437709
2001,Berlin,299616,1867254,2734,5918,95.03,0.3703,0,21000,17400,19900,1.206896551724138,NA,0.8743718592964824
2002,Berlin,302350,1873172,2502,4396,90.51,0.3703,0,21300,17400,19966.666666666668,1.2241379310344829,NA,0.8714524207011686
2003,Berlin,304852,1877568,1918,3153,86.22,0.3703,0,21600,17400,20033.333333333332,1.2413793103448276,NA,0.8685524126455907
2004,Berlin,306770,1880721,2408,3380,80.31,0.3703,0,21900,17400,20100,1.2586206896551724,TRUE,0.8656716417910447
2005,Berlin,309178,1884101,2151,3184,80.11,0.3703,0,22200,17900,21000,1.2402234636871508,TRUE,0.8523809523809524
2006,Berlin,311329,1887285,2303,2781,81.5,0.3703,0,22500,17800,21000,1.2640449438202248,TRUE,0.8476190476190476
2007,Berlin,313632,1890066,2271,3330,84.54,0.3703,0,22900,18000,21400,1.272222222222222,TRUE,0.8411214953271028
2008,Berlin,315903,1893396,3642,5984,84.7,0.3703,0,23100,18200,21900,1.2692307692307692,TRUE,0.8310502283105022
2009,Berlin,319545,1899380,2974,5666,82.83,0.3703,0,23200,18400,22200,1.2608695652173914,TRUE,0.8288288288288288
2010,Berlin,322519,1905046,2924,6748,84.4,0.3703,0,24000,18900,22700,1.2698412698412698,TRUE,0.8325991189427313
2011,Berlin,325443,1911794,3144,6998,90.58,0.3703,0,24500,19200,23100,1.2760416666666667,TRUE,0.8311688311688312
2012,Berlin,328587,1918792,4130,8360,99.94,0.3703,0,24700,19700,23514,1.2538071065989849,FALSE,0.8377987581866122
2013,Berlin,332717,1927152,4020,9052,108.11,0.3703,0,20040,20028,23514,1.000599161174356,FALSE,0.8517478948711406
2014,Berlin,336737,1936204,4262,14138,118.25,0.3703,0,26244,20796,23514,1.2619734564339296,FALSE,0.8844092880836948
2015,Berlin,340999,1950342,4022,17408,128.88,0.3703,0,26520,21036,23514,1.2606959498003425,FALSE,0.894615973462618
2016,Berlin,345021,1967750,4434,21216,147.08,0.3703,0,28992,23232,23514,1.2479338842975207,FALSE,0.9880071446797652
2017,Berlin,349455,1988966,3886,25570,166.99,0.3703,0,30240,23988,23514,1.2606303151575788,TRUE,1.0201582036233734
2018,Berlin,353341,2014536,4202,28654,183.6,0.3703,0,31452,24864,23514,1.26496138996139,TRUE,1.057412605256443
2019,Berlin,357543,2043190,4288,33538,199.77,0.3703,0,32736,25704,23514,1.2735760971055088,TRUE,1.093136004082674
2020,Berlin,361831,2076728,3178,29408,213.81,0.3703,0,NA,NA,NA,NA,NA,NA
2021,Berlin,365009,2106136,3736,28268,233.44,0.3703,0,NA,NA,NA,NA,NA,NA
2022,Berlin,368745,2134404,3140,30736,239.56,0.3703,0,NA,NA,NA,NA,NA,NA
2023,Berlin,371885,2165140,2872,28862,211.24,0.3703,0,NA,NA,NA,NA,NA,NA
2024,Berlin,374757,2194002,3110,29230,204.48,0.3703,0,NA,NA,NA,NA,NA,NA
1995,Bonn,49524,146056,474,2055,106.73,0.472,0,NA,NA,NA,NA,NA,NA
1996,Bonn,49998,148111,353,1497,102.88,0.472,0,NA,NA,NA,NA,NA,NA
1997,Bonn,50351,149608,346,1514,100.35,0.472,0,NA,NA,NA,NA,NA,NA
1998,Bonn,50697,151122,321,1283,101.33,0.472,0,NA,NA,NA,NA,NA,NA
1999,Bonn,51018,152405,353,1663,103.77,0.472,0,NA,NA,NA,NA,NA,NA
2000,Bonn,51371,154068,431,1144,100,0.472,0,23100,19400,15339,1.190721649484536,NA,1.2647499837016756
2001,Bonn,51802,155212,373,1055,90.34,0.472,0,23100,19400,19900,1.190721649484536,NA,0.9748743718592964
2002,Bonn,52175,156267,289,940,86.72,0.472,0,24900,20033.333333333332,19966.666666666668,1.242928452579035,NA,1.003338898163606
2003,Bonn,52464,157207,251,525,85.78,0.472,0,26700,20666.666666666668,20033.333333333332,1.2919354838709676,NA,1.031613976705491
2004,Bonn,52715,157732,326,811,89.56,0.472,0,28500,21300,20100,1.3380281690140845,TRUE,1.0597014925373134
2005,Bonn,53041,158543,259,541,87.55,0.472,0,30600,23400,21000,1.3076923076923077,TRUE,1.1142857142857143
2006,Bonn,53300,159084,448,784,85.11,0.472,0,30100,23000,21000,1.308695652173913,TRUE,1.0952380952380951
2007,Bonn,53748,159868,354,853,84.22,0.472,0,31000,23500,21400,1.319148936170213,TRUE,1.0981308411214954
2008,Bonn,54102,160721,340,777,82.18,0.472,0,31700,23800,21900,1.3319327731092436,FALSE,1.08675799086758
2009,Bonn,54442,161498,356,673,84.37,0.472,0,32100,24200,22200,1.3264462809917354,TRUE,1.09009009009009
2010,Bonn,54798,162171,340,599,84.31,0.472,0,32500,24600,22700,1.3211382113821135,TRUE,1.0837004405286343
2011,Bonn,55138,162770,276,605,87.95,0.472,0,32800,25100,23100,1.3067729083665338,FALSE,1.0865800865800863
2012,Bonn,55414,163375,213,896,91.07,0.472,0,34400,26000,23514,1.323076923076923,FALSE,1.105724249383346
2013,Bonn,55627,164271,212,691,97.61,0.472,0,26952,26292,23514,1.0251026928343223,FALSE,1.118142383261036
2014,Bonn,55839,164962,145,769,104.62,0.472,0,33828,26268,23514,1.2878026496116948,FALSE,1.1171217147231436
2015,Bonn,55984,165731,239,1156,101.34,0.472,0,34584,26232,23514,1.3183897529734676,TRUE,1.115590711916305
2016,Bonn,56223,166887,203,1450,116.64,0.472,0,34860,26700,23514,1.3056179775280898,FALSE,1.1354937484052054
2017,Bonn,56426,168337,190,1259,122.82,0.472,0,34428,27108,23514,1.270030987162461,TRUE,1.152845113549375
2018,Bonn,56616,169596,223,1154,130.99,0.472,0,35760,28608,23514,1.25,FALSE,1.216636897167645
2019,Bonn,56839,170750,226,1110,140.04,0.472,0,36216,29232,23514,1.2389162561576357,FALSE,1.243174279152845
2020,Bonn,57065,171860,164,1064,154.08,0.472,0,NA,NA,NA,NA,NA,NA
2021,Bonn,57229,172924,126,1185,169.4,0.472,0,NA,NA,NA,NA,NA,NA
2022,Bonn,57355,174109,127,625,168.57,0.472,0,NA,NA,NA,NA,NA,NA
2023,Bonn,57482,174734,92,700,152,0.472,0,NA,NA,NA,NA,NA,NA
2024,Bonn,57574,175434,141,1309,143.7,0.472,0,NA,NA,NA,NA,NA,NA
1995,Chemnitz,26649,154189,287,1017,118.97,0.25,1,NA,NA,NA,NA,NA,NA
1996,Chemnitz,26936,155206,513,2546,119.64,0.25,1,NA,NA,NA,NA,NA,NA
1997,Chemnitz,27449,157752,1045,4269,105.33,0.25,1,NA,NA,NA,NA,NA,NA
1998,Chemnitz,28494,162021,582,1607,103.29,0.25,1,NA,NA,NA,NA,NA,NA
1999,Chemnitz,29076,163628,470,1172,96.73,0.25,1,NA,NA,NA,NA,NA,NA
2000,Chemnitz,29546,164800,441,747,100,0.25,1,18400,16200,15339,1.1358024691358024,NA,1.056131429689028
2001,Chemnitz,29987,165547,400,684,96.29,0.25,1,18400,16200,19900,1.1358024691358024,NA,0.8140703517587939
2002,Chemnitz,30387,166231,420,555,89.22,0.25,1,18825,16650,19966.666666666668,1.1306306306306306,NA,0.833889816360601
2003,Chemnitz,30807,166786,308,407,92.15,0.25,1,19250,17100,20033.333333333332,1.1257309941520468,NA,0.8535773710482529
2004,Chemnitz,31115,167193,339,463,87.53,0.25,1,19675,17550,20100,1.121082621082621,FALSE,0.8731343283582089
2005,Chemnitz,31454,167656,269,322,89.37,0.25,1,20100,18000,21000,1.1166666666666667,FALSE,0.8571428571428571
2006,Chemnitz,31723,167978,222,253,88.18,0.25,1,20200,17900,21000,1.128491620111732,FALSE,0.8523809523809524
2007,Chemnitz,31945,168231,223,246,84.55,0.25,1,20400,17800,21400,1.146067415730337,TRUE,0.8317757009345794
2008,Chemnitz,32168,168477,179,263,86.58,0.25,1,20900,18000,21900,1.1611111111111112,TRUE,0.821917808219178
2009,Chemnitz,32347,168740,153,192,81.94,0.25,1,21100,18000,22200,1.1722222222222225,TRUE,0.8108108108108109
