year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany,grow5_index_ann,grow5_hu_ann,p_q5,growth5sum,demand_cutoff,demand_cutoff_lag,inelasticity_cutoff,inelasticity_cutoff_lag,p_q5_lag,growth5sum_lag,superstar,growth_window,superstar_ever
2019,Bonn,56839,170750,226,1110,119.37,0.472,0,36216,29232,23514,1.2389162561576357,FALSE,1.243174279152845,0.03019939572962338,0.005984738700469894,5.046067546316143,0.03618413443009327,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,7.677593945101845,0.03134411145079308,0,2015-2019,0
2019,Chemnitz,34234,171812,153,442,78.06,0.25,1,28392,23940,23514,1.1859649122807017,FALSE,1.0181168665475886,0.024803015332645062,0.001857676227143612,13.351635215132463,0.026660691559788674,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,7.752348565512885,0.01177026610680798,0,2015-2019,0
2019,Dortmund,96934,320653,335,1306,108.9,0.6583,0,30456,24600,23514,1.2380487804878049,TRUE,1.0461852513396277,0.05643183400710572,0.0028166962116009664,20.034760502280342,0.059248530218706685,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,3.250127386378607,0.00979148965313148,0,2015-2019,0
2019,Dresden,58919,306028,302,2350,150.71,0.6,1,30744,25140,23514,1.22291169451074,FALSE,1.0691502934422046,0.048222203987857704,0.005579937547750546,8.642068764245872,0.05380214153560825,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,20.10118077026386,0.05978905795770029,0,2015-2019,1
2019,Duisburg,82737,268645,232,585,103.82,0.6479,0,29472,24660,23514,1.1951338199513382,FALSE,1.0487369226843584,0.04814005553930123,0.0014528293760946998,33.135381436672795,0.04959288491539593,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,4.775588720301337,0.008548473407896662,0,2015-2019,0
2019,Düsseldorf,213758,638568,4212,12969,141.78,0.5091,0,37764,28044,23514,1.3465982028241337,TRUE,1.1926511865271754,0.044251208806751485,0.015085069532117856,2.933444139089684,0.05933627833886934,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,2.0121200810546473,0.0396802671701757,0,2015-2019,0
2019,Erfurt,28477,118743,81,233,160.36,NA,NA,29004,24324,23514,1.1924025653675383,FALSE,1.034447563153866,0.05236627280721384,0.0023475272977018236,22.306992067133468,0.054713800104915666,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,4.713834207371105,0.011274131351517447,0,2015-2019,1
2019,Frankfurt,79679,386809,406,4019,155.97,0.4497,0,29616,24792,23514,1.1945788964181994,FALSE,1.054350599642766,0.0618832696383842,0.008002253216291999,7.733230624643871,0.0698855228546762,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,8.633303601624574,0.05647343404622518,1,2015-2019,1
2019,Hamburg,256415,948102,1900,9079,159.23,0.535,0,36300,28416,23514,1.2774493243243243,FALSE,1.2084715488645064,0.06379253508532012,0.00672418514500972,9.487028347615183,0.07051672023032984,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,9.7291979355803,0.04419931956274259,1,2015-2019,1
2019,Karlsruhe,636159,1417300,3792,8210,144.35,0.2478,0,34248,27024,23514,1.2673179396092362,TRUE,1.1492727736667516,0.04791805313973385,0.005239623138435956,9.145324362781851,0.05315767627816981,0.06461090059677277,0.041950922979343774,0.5322569561262933,0.5322569561262933,8.007373874495686,0.041950922979343774,0,2015-2019,0
